graph,emb,dim,param,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_errc
football,hope,4,cn,7.25,0.030821424373586842,0.0,0.0,5.0,0.07630000000000003,0.005203359258171591
football,hope,4,ppr,6.5,0.022663873696404428,0.0,0.0,5.0,0.0726,0.0050857841910958036
football,hope,4,aa,7.0,0.02849044039693285,0.0,0.0,4.0,0.0726,0.0050857841910958036
football,hope,6,cn,3.5,0.02205378260802892,0.0,0.0,2.0,0.05730000000000002,0.004555333062861596
football,hope,6,ppr,3.5,0.01833673668069,0.0,0.0,1.75,0.05669999999999997,0.0045328622147159945
football,hope,6,aa,3.25,0.0189591508721371,0.0,0.0,2.0,0.056499999999999995,0.004525340345211617
football,hope,8,cn,2.5,0.0154038874834486,0.0,0.0,1.5,0.04490000000000005,0.0040588561933628566
football,hope,8,ppr,2.5,0.016316544697583996,0.0,0.0,1.25,0.044399999999999995,0.004037249848894665
football,hope,8,aa,2.5,0.014619923058872261,0.0,0.0,1.5,0.04469999999999996,0.004050230332413206
football,hope,10,cn,2.0,0.015086437232171356,0.0,0.0,1.25,0.02739999999999998,0.0031996206085097016
football,hope,10,ppr,2.25,0.018959864373819055,0.0,0.0,1.25,0.027100000000000013,0.0031825469445712824
football,hope,10,aa,2.0,0.01322774954153889,0.0,0.0,1.25,0.028900000000000037,0.003283499615714918
football,hope,12,cn,2.0,0.01138183727797371,0.0,0.0,1.5,0.03180000000000005,0.0034391583333135477
football,hope,12,ppr,2.5,0.019773398887746818,0.0,0.0,1.5,0.019000000000000017,0.0026758845715015448
football,hope,12,aa,2.5,0.010134016467059954,0.0,0.0,1.5,0.025599999999999956,0.003095598956971007
football,hope,14,cn,2.25,0.011255452219131937,0.0,0.0,1.5,0.047699999999999965,0.004177362396728345
football,hope,14,ppr,3.0,0.018827123510223906,0.0,0.0,1.75,0.0131,0.0022285803333961284
football,hope,14,aa,2.75,0.010370045678821212,0.0,0.0,1.75,0.02400000000000002,0.002999760630450371
football,hope,16,cn,2.25,0.009585747703252616,0.0,0.0,1.25,0.04930000000000001,0.004243275970473756
football,hope,16,ppr,3.0,0.019504519707603515,0.0,0.0,2.25,0.010800000000000032,0.002025862674911607
football,hope,16,aa,2.75,0.010972497442681528,0.0,0.0,1.75,0.023900000000000032,0.002993657957482787
football,hope,18,cn,2.25,0.00926975385331723,0.0,0.0,1.25,0.0685,0.004950998408402087
football,hope,18,ppr,3.25,0.020471228219110307,0.0,0.0,2.25,0.006299999999999972,0.0015507935676936466
football,hope,18,aa,3.0,0.011670351560896571,0.0,0.0,1.75,0.0242,0.0030119250551101035
football,hope,20,cn,2.25,0.009010937165788553,0.0,0.0,1.5,0.0776,0.0052438055530692595
football,hope,20,ppr,3.5,0.02062309074443183,0.0,0.0,1.75,0.0032999999999999696,0.0011240749519493742
football,hope,20,aa,3.0,0.01172832562422933,0.0,0.0,1.75,0.023299999999999987,0.002956750137837148
football,hope,22,cn,2.0,0.007970023641965533,0.0,0.0,1.5,0.0806,0.005335508817573072
football,hope,22,ppr,3.25,0.02108299721884235,0.0,0.0,2.0,0.0019000000000000128,0.0008535321800611883
football,hope,22,aa,3.0,0.012455854209066574,0.0,0.0,2.0,0.02180000000000004,0.002862187939601454
football,hope,24,cn,2.0,0.007495450189220825,0.0,0.0,1.25,0.09560000000000002,0.00576322127480804
football,hope,24,ppr,3.0,0.021579317710975078,0.0,0.0,2.25,0.0020000000000000018,0.0008756616698245964
football,hope,24,aa,2.75,0.012841960226792008,0.0,0.0,2.0,0.021499999999999964,0.002842861593535638
football,hope,26,ppr,3.0,0.022082095549302898,0.0,0.0,2.0,0.0010999999999999899,0.0006497008283817993
football,hope,26,aa,3.0,0.013286619394964548,0.0,0.0,2.0,0.02080000000000004,0.0027971994954954526
football,hope,28,ppr,3.0,0.022148354061633083,0.0,0.0,1.75,0.0006000000000000449,0.0004799559379776619
football,hope,28,aa,2.75,0.013486887435820192,0.0,0.0,2.0,0.020000000000000018,0.002744000000000001
football,hope,30,ppr,2.75,0.02226935062873353,0.0,0.0,1.75,0.00039999999999995595,0.00039192159215841
football,hope,30,aa,3.0,0.013459652488671031,0.0,0.0,2.0,0.018299999999999983,0.0026270661692465976
football,n2v,4,1,5.5,0.019235193627649055,0.0,0.0,6.5,0.05889999999999995,0.004614573900849349
football,n2v,4,9,8.25,0.020200696284856295,0.0,0.0,6.5,0.07140000000000002,0.005046839772213896
football,n2v,4,0.11,5.75,0.020839253157468544,0.0,0.0,3.75,0.10229999999999995,0.005939631486346605
football,n2v,6,1,4.0,0.004192182969789064,0.0,0.0,5.75,0.034499999999999975,0.003577187940268164
football,n2v,6,9,5.0,0.009244430068168292,0.0,0.0,4.25,0.03969999999999996,0.0038269676332051703
football,n2v,6,0.11,5.0,0.008847485189515388,0.0,0.0,4.75,0.047699999999999965,0.004177362396728345
football,n2v,8,1,3.75,0.001984204944659955,0.0,0.0,5.0,0.023299999999999987,0.002956750137837148
football,n2v,8,9,4.25,0.00463596279143429,0.0,0.0,4.5,0.028299999999999992,0.0032502396984837897
football,n2v,8,0.11,4.75,0.004652354056739908,0.0,0.0,3.5,0.021599999999999953,0.00284931962236601
football,n2v,10,1,3.0,0.0014087736315673478,0.0,0.0,1.75,0.01849999999999996,0.0026411136363284305
football,n2v,10,9,4.0,0.002932583546446034,0.0,0.0,4.25,0.026000000000000023,0.0031190491884547137
football,n2v,10,0.11,4.25,0.004257564731516702,0.0,0.0,3.0,0.009800000000000031,0.0019307701244840134
football,n2v,12,1,3.0,0.0016748066049790654,0.0,0.0,2.5,0.013299999999999979,0.0022453004114371847
football,n2v,12,9,4.0,0.0038635430830618474,0.0,0.0,2.25,0.031000000000000028,0.0033970254988739796
football,n2v,12,0.11,3.75,0.003954234277472921,0.0,0.0,2.0,0.0044999999999999485,0.001311846317218591
football,n2v,14,1,2.75,0.001957752546275707,0.0,0.0,2.25,0.014800000000000035,0.002366732260649695
football,n2v,14,9,4.0,0.00428986572597281,0.0,0.0,3.25,0.04349999999999998,0.0039980036568267405
football,n2v,14,0.11,4.25,0.0052964376242695035,0.0,0.0,3.75,0.007800000000000029,0.0017242609157549244
football,n2v,16,1,2.75,0.002541116454316765,0.0,0.0,2.5,0.017900000000000027,0.002598725705879713
football,n2v,16,9,4.0,0.004753999064298108,0.0,0.0,3.25,0.0464,0.004122856156404198
football,n2v,16,0.11,3.75,0.005565534382672684,0.0,0.0,3.0,0.007000000000000006,0.0016341040848122258
football,n2v,18,1,2.75,0.0026096984760391522,0.0,0.0,2.0,0.01770000000000005,0.0025844300171604605
football,n2v,18,9,3.5,0.004647172932535517,0.0,0.0,3.25,0.05800000000000005,0.004581371602478893
football,n2v,18,0.11,4.0,0.006536230340545927,0.0,0.0,2.25,0.006700000000000039,0.0015989456080805298
football,n2v,20,1,3.0,0.003084874707336664,0.0,0.0,2.75,0.01990000000000003,0.0027372710494943703
football,n2v,20,9,3.5,0.004569050722834521,0.0,0.0,2.75,0.0605,0.004672853342445063
football,n2v,20,0.11,3.75,0.006626303131082713,0.0,0.0,2.75,0.006900000000000017,0.0016224716152833019
football,n2v,22,1,3.0,0.0026713596503717676,0.0,0.0,2.75,0.017900000000000027,0.002598725705879713
football,n2v,22,9,3.75,0.003945652291351432,0.0,0.0,3.25,0.05120000000000002,0.004319946713745438
football,n2v,22,0.11,3.25,0.005288541022154727,0.0,0.0,3.25,0.00880000000000003,0.0018305350719393528
football,n2v,24,1,3.0,0.002631671796783656,0.0,0.0,2.75,0.021299999999999986,0.0028298972507142363
football,n2v,24,9,4.0,0.0045515377353847995,0.0,0.0,3.25,0.05910000000000004,0.004621910655821898
football,n2v,24,0.11,3.5,0.006053084277238083,0.0,0.0,2.0,0.008700000000000041,0.0018201963986339536
football,n2v,26,1,3.0,0.002535090738891091,0.0,0.0,3.25,0.021599999999999953,0.00284931962236601
football,n2v,26,9,3.75,0.004535971947050182,0.0,0.0,3.0,0.06720000000000004,0.0049072137619630965
football,n2v,26,0.11,3.75,0.00582616894534751,0.0,0.0,3.25,0.007800000000000029,0.0017242609157549244
football,n2v,28,1,2.75,0.0032726651217136705,0.0,0.0,2.25,0.02080000000000004,0.0027971994954954526
football,n2v,28,9,3.25,0.00460993453617222,0.0,0.0,2.0,0.06579999999999997,0.004859470495599288
football,n2v,28,0.11,3.5,0.005970185758214079,0.0,0.0,2.0,0.008299999999999974,0.0017782191140576545
football,n2v,30,1,3.0,0.0032995423702232114,0.0,0.0,2.25,0.023399999999999976,0.00296293660924428
football,n2v,30,9,3.25,0.004327535318641528,0.0,0.0,2.5,0.06810000000000005,0.004937581568176876
football,n2v,30,0.11,3.25,0.00576846880044218,0.0,0.0,2.0,0.007299999999999973,0.0016685011578060082
