graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
sbm10k,hope,2,aa,45.21,150,10.0,0.1148942351782888,0.0,0.0,0.25,0.4315,0.0217068451461745
sbm10k,hope,4,aa,45.87,150,3.25,0.1324546094401301,0.0,0.0,3.75,0.3804999999999999,0.0212784044467624
sbm10k,hope,6,aa,44.26,150,3.5,0.1271042615470343,0.0,0.0,6.5,0.3665,0.0211179312954654
sbm10k,hope,8,aa,45.83,150,3.25,0.1223499221430809,0.0,0.0,5.0,0.3615,0.0210559904587744
sbm10k,hope,10,aa,48.55,150,3.0,0.1169096537309723,0.0,0.0,5.5,0.3465,0.0208552542588192
sbm10k,hope,12,aa,45.82,150,3.0,0.111771331105011,0.0,0.0,6.5,0.3279999999999999,0.0205760796265955
sbm10k,hope,14,aa,49.01,150,3.0,0.1065728963654493,0.0,0.0,5.25,0.3065,0.0202059626397754
sbm10k,hope,16,aa,47.78,150,3.25,0.1006979790653008,0.0,0.0,8.25,0.288,0.019846197741633
sbm10k,hope,18,aa,46.5,150,3.5,0.0937687479727878,0.0,0.0,6.25,0.269,0.0194346132248624
sbm10k,hope,20,aa,46.47,150,3.5,0.0881882020829636,0.0,0.0,7.75,0.261,0.0192479085409298
sbm10k,hope,22,aa,46.65,150,3.5,0.0828143326552439,0.0,0.0,6.25,0.2514999999999999,0.0190154221146941
sbm10k,hope,24,aa,46.01,150,3.5,0.0778252503428335,0.0,0.0,5.25,0.2514999999999999,0.0190154221146941
sbm10k,hope,26,aa,47.1,150,3.5,0.07273155614002,0.0,0.0,5.25,0.2445,0.0188363928553213
sbm10k,hope,28,aa,49.68,150,3.25,0.0682840393763747,0.0,0.0,6.5,0.238,0.0186640993567865
sbm10k,hope,30,aa,47.16,150,3.25,0.0635178695807062,0.0,0.0,5.0,0.2375,0.0186505998563048
sbm10k,hope,32,aa,47.29,150,3.25,0.0582928303131394,0.0,0.0,5.0,0.2279999999999999,0.0183872655063225
sbm10k,hope,2,katz,43.7,150,10.0,0.1142463098602864,0.0,0.0,0.25,0.436,0.0217332096847198
sbm10k,hope,4,katz,44.38,150,4.25,0.1318509674964476,0.0,0.0,4.75,0.398,0.0214526454499206
sbm10k,hope,6,katz,44.53,150,3.75,0.1277942310806147,0.0,0.0,4.25,0.385,0.0213259799305917
sbm10k,hope,8,katz,43.96,150,3.75,0.122205960965659,0.0,0.0,4.75,0.3705,0.0211657200161015
sbm10k,hope,10,katz,47.45,150,4.0,0.115621206943028,0.0,0.0,4.75,0.359,0.0210240951101349
sbm10k,hope,12,katz,46.47,150,4.0,0.1103589398301093,0.0,0.0,7.25,0.3365,0.0207087588763788
sbm10k,hope,14,katz,45.09,150,3.25,0.1061963888458237,0.0,0.0,9.0,0.3225,0.0204861610605794
sbm10k,hope,16,katz,45.96,150,3.5,0.1011198994755417,0.0,0.0,8.75,0.2955,0.0199967913376121
sbm10k,hope,18,katz,46.19,150,3.5,0.0955270822418271,0.0,0.0,6.75,0.2825,0.0197315522704119
sbm10k,hope,20,katz,49.16,150,3.75,0.0880541301681626,0.0,0.0,8.5,0.2774999999999999,0.0196241788363233
sbm10k,hope,22,katz,46.38,150,3.75,0.0828034263382619,0.0,0.0,6.0,0.2724999999999999,0.0195137539955796
sbm10k,hope,24,katz,47.66,150,3.75,0.0780073488903208,0.0,0.0,7.25,0.2614999999999999,0.0192598176055745
sbm10k,hope,26,katz,47.84,150,3.75,0.0732824286865244,0.0,0.0,7.0,0.2614999999999999,0.0192598176055745
sbm10k,hope,28,katz,46.95,150,3.5,0.0676287730266479,0.0,0.0,6.25,0.261,0.0192479085409298
sbm10k,hope,30,katz,46.08,150,4.0,0.0619676033577713,0.0,0.0,6.25,0.253,0.0190529239960694
sbm10k,hope,32,katz,48.09,150,3.75,0.0574785525257873,0.0,0.0,8.0,0.248,0.0189267407865168
sbm10k,hope,2,ppr,46.92,150,10.0,0.1370184199136561,0.0,0.0,1.5,0.426,0.021672141084812
sbm10k,hope,4,ppr,46.12,150,4.5,0.1289740673354908,0.0,0.0,6.0,0.3325,0.0206472650731277
sbm10k,hope,6,ppr,45.5,150,3.0,0.1263980901880904,0.0,0.0,3.0,0.3309999999999999,0.0206237734471652
sbm10k,hope,8,ppr,48.01,150,3.5,0.118908699015016,0.0,0.0,4.0,0.3225,0.0204861610605794
sbm10k,hope,10,ppr,46.72,150,4.0,0.1104379326855233,0.0,0.0,4.0,0.3045,0.0201689499925008
sbm10k,hope,12,ppr,45.74,150,4.25,0.1003166436398759,0.0,0.0,5.25,0.285,0.0197841102908369
sbm10k,hope,14,ppr,45.62,150,4.5,0.0949272270722871,0.0,0.0,5.5,0.2764999999999999,0.0196023396103628
sbm10k,hope,16,ppr,47.0,150,4.25,0.0873845546692316,0.0,0.0,4.5,0.2544999999999999,0.0190901258193863
sbm10k,hope,18,ppr,49.44,150,4.0,0.0842547245988465,0.0,0.0,4.25,0.246,0.0188753189959799
sbm10k,hope,20,ppr,49.03,150,3.75,0.0809267499151067,0.0,0.0,5.0,0.237,0.0186370648118205
sbm10k,hope,22,ppr,46.15,150,3.75,0.0746057035316228,0.0,0.0,4.5,0.2305,0.0184578388713305
sbm10k,hope,24,ppr,48.39,150,4.0,0.0672980375166783,0.0,0.0,4.5,0.2195,0.0181403135529681
sbm10k,hope,26,ppr,50.57,150,3.75,0.0633369510453859,0.0,0.0,7.25,0.2165,0.0180505119650385
sbm10k,hope,28,ppr,48.76,150,3.75,0.0567313704839357,0.0,0.0,5.0,0.2165,0.0180505119650385
sbm10k,hope,30,ppr,50.88,150,3.75,0.0538475296870112,0.0,0.0,4.5,0.2119999999999999,0.0179131561931447
sbm10k,hope,32,ppr,49.01,150,3.5,0.0491363778020801,0.0,0.0,5.5,0.2075,0.017772550604795
lfr10k,n2v,2,1,45.88,270,1.25,0.1592187160345776,0.0,0.0,2.75,0.1725,0.0165584478439254
lfr10k,n2v,4,1,45.94,270,2.75,0.1391535629638432,0.0,0.0,3.0,0.1464999999999999,0.0154975001274399
lfr10k,n2v,6,1,45.09,270,4.75,0.0898230232254873,0.0,0.0,4.5,0.1294999999999999,0.0147150026775396
lfr10k,n2v,8,1,47.68,270,4.5,0.0593951721303043,0.0,0.0,3.0,0.1235,0.0144195103314918
lfr10k,n2v,10,1,47.37,270,3.75,0.0455236607776626,0.0,0.0,3.0,0.1205,0.0142676523576936
lfr10k,n2v,12,1,47.35,270,3.75,0.0325784997068827,0.0,0.0,3.5,0.1109999999999999,0.0137674479552312
lfr10k,n2v,14,1,49.32,270,3.75,0.0246062436666692,0.0,0.0,4.5,0.1145,0.0139552653790603
lfr10k,n2v,16,1,49.05,270,3.75,0.0180920068283374,0.0,0.0,4.0,0.1059999999999999,0.0134915785288453
lfr10k,n2v,18,1,48.57,270,3.75,0.0133842804340721,0.0,0.0,4.25,0.1059999999999999,0.0134915785288453
lfr10k,n2v,20,1,48.76,270,4.0,0.010365159357743,0.0,0.0,4.75,0.1005,0.013177247049365
lfr10k,n2v,22,1,47.65,270,3.75,0.0071808191117749,0.0,0.0,8.25,0.0939999999999999,0.0127899574354256
lfr10k,n2v,24,1,48.99,270,4.0,0.0062728844635897,0.0,0.0,5.25,0.0879999999999999,0.0124159463916368
lfr10k,n2v,26,1,51.09,270,4.25,0.0047486149449458,0.0,0.0,9.75,0.0885,0.0124477553880207
lfr10k,n2v,28,1,49.61,270,4.25,0.0036912350128551,0.0,0.0,7.75,0.0855,0.0122550753486055
lfr10k,n2v,30,1,50.89,270,4.25,0.0028582880434419,0.0,0.0,8.25,0.0859999999999999,0.0122874962136311
lfr10k,n2v,32,1,55.3,270,4.5,0.0023729600539006,0.0,0.0,7.0,0.0879999999999999,0.0124159463916368
sbm10k,n2v,2,1,47.81,150,1.75,0.1341691827908846,0.0,0.0,3.5,0.3259999999999999,0.0205437547493149
sbm10k,n2v,4,1,47.87,150,3.25,0.1105770804358121,0.0,0.0,7.5,0.2534999999999999,0.0190653578565942
sbm10k,n2v,6,1,48.6,150,4.5,0.068194884673953,0.0,0.0,6.0,0.2175,0.0180806016216275
sbm10k,n2v,8,1,47.19,150,4.75,0.0394112096024782,0.0,0.0,3.25,0.2115,0.0178976952203349
sbm10k,n2v,10,1,46.88,150,4.0,0.0278662874400571,0.0,0.0,4.25,0.179,0.016801156126886
sbm10k,n2v,12,1,47.4,150,3.75,0.0204253380567825,0.0,0.0,4.0,0.1725,0.0165584478439254
sbm10k,n2v,14,1,47.86,150,3.5,0.0171600201807782,0.0,0.0,6.25,0.1474999999999999,0.0155411902697315
sbm10k,n2v,16,1,49.78,150,3.5,0.0107357617860305,0.0,0.0,5.75,0.1454999999999999,0.0154535621718748
sbm10k,n2v,18,1,50.24,150,3.25,0.009165270577906,0.0,0.0,5.5,0.129,0.014690785111763
sbm10k,n2v,20,1,52.38,150,3.0,0.0091021140090162,0.0,0.0,4.75,0.133,0.0148825188997024
sbm10k,n2v,22,1,51.79,150,2.75,0.0081448994092286,0.0,0.0,4.25,0.1254999999999999,0.01451920520552
sbm10k,n2v,24,1,48.51,150,2.5,0.0067969998551812,0.0,0.0,4.75,0.1139999999999999,0.0139286928029876
sbm10k,n2v,26,1,50.23,150,2.5,0.0043899714086057,0.0,0.0,4.5,0.0985,0.0130599662403851
sbm10k,n2v,28,1,54.68,150,2.0,0.0037291807811525,0.0,0.0,3.5,0.1025,0.0132929152182657
sbm10k,n2v,30,1,49.82,150,2.0,0.0023035478454963,0.0,0.0,3.5,0.0975,0.0130007074807488
sbm10k,n2v,32,1,50.44,150,1.75,0.0009853695802396,0.0,0.0,3.0,0.0955,0.0128809248037553
lfr10k,hope,2,katz,49.89,270,5.75,0.1500026946656444,0.0,0.0,3.0,0.1885,0.0171411917380326
lfr10k,hope,4,katz,52.67,270,7.0,0.1432921747927648,0.0,0.0,3.25,0.1875,0.0171061940536169
lfr10k,hope,6,katz,53.31,270,7.25,0.1358672780034495,0.0,0.0,3.0,0.185,0.017017891173703
lfr10k,hope,8,katz,49.91,270,6.25,0.1305444966815507,0.0,0.0,4.25,0.1815,0.0168922978365881
lfr10k,hope,10,katz,52.39,270,6.0,0.1243702406806127,0.0,0.0,4.25,0.1805,0.0168559857558079
lfr10k,hope,12,katz,50.64,270,6.5,0.1192704644782619,0.0,0.0,3.5,0.18,0.0168377575704129
lfr10k,hope,14,katz,53.02,270,6.5,0.1126503362064944,0.0,0.0,3.5,0.178,0.0167643601965598
