graph,emb,dim,param,exec_time,landmarks,model,clusters,iter,ami,apr
sbm10k,n2v,2,9,0.97,-1,kmeans,30,0,0.2875506720049954,0.072889130512788
sbm10k,n2v,2,9,0.77,-1,kmeans,30,1,0.2872498390716073,0.0711287819624575
sbm10k,n2v,2,9,0.79,-1,kmeans,30,2,0.2874766425434275,0.0717185233569289
sbm10k,n2v,2,9,0.92,-1,kmeans,30,3,0.2874982296636374,0.0732308797588834
sbm10k,n2v,2,9,1.06,-1,kmeans,30,4,0.2863163237696359,0.0718990587326014
sbm10k,n2v,2,9,0.89,-1,kmeans,30,5,0.287709378780667,0.0711349523316442
sbm10k,n2v,2,9,0.77,-1,kmeans,30,6,0.2877815684139126,0.0724331688363569
sbm10k,n2v,2,9,1.02,-1,kmeans,30,7,0.2879153615737318,0.0710287716890328
sbm10k,n2v,2,9,1.09,-1,kmeans,30,8,0.2873246270252972,0.0730040393882843
sbm10k,n2v,2,9,1.1,-1,kmeans,30,9,0.2858165504574493,0.0723100738353892
sbm10k,n2v,2,9,0.9,-1,kmeans,30,10,0.2879766411845222,0.0712368179214851
sbm10k,n2v,2,9,1.27,-1,kmeans,30,11,0.2874705501174865,0.0711038990391602
sbm10k,n2v,2,9,1.13,-1,kmeans,30,12,0.2881627254572655,0.0713544607676743
sbm10k,n2v,2,9,1.01,-1,kmeans,30,13,0.2870923448608785,0.0728604337685351
sbm10k,n2v,2,9,1.15,-1,kmeans,30,14,0.288036870592941,0.0713699525209996
sbm10k,n2v,2,9,0.84,-1,kmeans,30,15,0.2872835558757604,0.0720935660395958
sbm10k,n2v,2,9,1.2,-1,kmeans,30,16,0.2874078625109249,0.072070222593024
sbm10k,n2v,2,9,1.0,-1,kmeans,30,17,0.2872005152735849,0.0718761951574383
sbm10k,n2v,2,9,1.09,-1,kmeans,30,18,0.2874718924223499,0.0717337687218884
sbm10k,n2v,2,9,1.05,-1,kmeans,30,19,0.287608743876213,0.0707735887921521
sbm10k,n2v,4,9,2.45,-1,kmeans,30,0,0.647294557152133,0.4588534038893554
sbm10k,n2v,4,9,2.47,-1,kmeans,30,1,0.6490056765089822,0.4592685766314028
