graph,emb,dim,param,exec_time,landmarks,model,iter,accuracy,precision,recall,fscore
sbm10k,n2v,2,9,6.14,-1,xgboost,0,0.1344,0.1279488488604399,0.1329727193805768,0.1284014827258585
sbm10k,n2v,2,9,6.27,-1,xgboost,1,0.1244,0.1224265445834404,0.121442484141636,0.1191673570074419
sbm10k,n2v,2,9,6.06,-1,xgboost,2,0.1276,0.1224781215866289,0.1231500929552051,0.1214394919684303
sbm10k,n2v,2,9,5.87,-1,xgboost,3,0.1348,0.1307251920400566,0.131909077701436,0.1301272837010299
sbm10k,n2v,2,9,5.92,-1,xgboost,4,0.1256,0.1198378415814066,0.1243545948581304,0.1209606595403333
sbm10k,n2v,2,9,6.17,-1,xgboost,5,0.1292,0.1225822275073524,0.1247657588528659,0.1221598611306319
sbm10k,n2v,2,9,6.18,-1,xgboost,6,0.1324,0.1267408275156151,0.1300972201264929,0.1264839699648049
sbm10k,n2v,2,9,6.19,-1,xgboost,7,0.1304,0.1255875880970991,0.1292819438361366,0.1254135198365643
sbm10k,n2v,2,9,6.12,-1,xgboost,8,0.1364,0.1291015702445804,0.1313851038709193,0.1290260644398103
sbm10k,n2v,2,9,6.15,-1,xgboost,9,0.126,0.1221255305686699,0.123899123544356,0.1213453152438861
sbm10k,n2v,4,9,6.54,-1,xgboost,0,0.6108,0.5989924623729805,0.6042764155021558,0.600072592633352
sbm10k,n2v,4,9,6.4,-1,xgboost,1,0.6092,0.5986030335315183,0.6012255938419945,0.5985565107963013
sbm10k,n2v,4,9,6.61,-1,xgboost,2,0.6212,0.6145462104181997,0.6119638683579887,0.6117609189360278
sbm10k,n2v,4,9,6.17,-1,xgboost,3,0.6084,0.6094373090805862,0.6031199146875187,0.6033996310555684
sbm10k,n2v,4,9,6.07,-1,xgboost,4,0.5996,0.5961563789959362,0.5953208302032845,0.593986774785226
sbm10k,n2v,4,9,7.65,-1,xgboost,5,0.6116,0.6037485728067765,0.6011516623093272,0.6011885433174028
sbm10k,n2v,4,9,6.54,-1,xgboost,6,0.6068,0.5959516060950506,0.5956057755315285,0.5939954257925463
sbm10k,n2v,4,9,6.18,-1,xgboost,7,0.6164,0.6017578075555884,0.6047661441510269,0.6015977143667403
sbm10k,n2v,4,9,6.53,-1,xgboost,8,0.6124,0.6015685710956336,0.600912202655352,0.6000150221771182
sbm10k,n2v,4,9,6.77,-1,xgboost,9,0.6152,0.6075364742942091,0.606811874463137,0.6041428915386761
sbm10k,n2v,6,9,6.39,-1,xgboost,0,0.8744,0.871510261389539,0.8707510636485203,0.8702910410722757
sbm10k,n2v,6,9,6.46,-1,xgboost,1,0.8728,0.8674693065419565,0.8682164023831092,0.8673006134062456
sbm10k,n2v,6,9,6.53,-1,xgboost,2,0.8708,0.8667040826897144,0.8662367129485156,0.8659320473125568
