graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
lfr10k,hope,2,aa,78.12,100,10.0,0.1472597397863479,0.0,0.0,0.25,0.1999999999999999,0.0175307729435983
lfr10k,hope,4,aa,50.57,100,10.0,0.1396706794897794,0.0,0.0,1.75,0.1985,0.0174812745015916
lfr10k,hope,6,aa,48.92,100,10.0,0.1413518975543721,0.0,0.0,1.25,0.1969999999999999,0.0174313875752907
lfr10k,hope,8,aa,54.94,100,8.25,0.1350050807637185,0.0,0.0,1.0,0.1955,0.0173811088196351
lfr10k,hope,10,aa,49.41,100,6.75,0.1317116721838978,0.0,0.0,1.25,0.1965,0.0174146716937184
lfr10k,hope,12,aa,56.11,100,6.25,0.1259295919406066,0.0,0.0,2.0,0.1945,0.0173473702848587
lfr10k,hope,14,aa,50.16,100,6.5,0.1206649368451925,0.0,0.0,2.5,0.1919999999999999,0.0172622486600095
lfr10k,hope,16,aa,50.91,100,6.25,0.1144656153031688,0.0,0.0,2.5,0.1905,0.0172106387969767
lfr10k,hope,18,aa,51.81,100,7.0,0.1104998832456172,0.0,0.0,3.0,0.1895,0.0171760062820202
lfr10k,hope,20,aa,51.55,100,7.25,0.1049864645127961,0.0,0.0,2.25,0.1889999999999999,0.0171586218327696
lfr10k,hope,22,aa,49.47,100,7.5,0.1013237924312192,0.0,0.0,2.25,0.1875,0.0171061940536169
lfr10k,hope,24,aa,52.98,100,7.25,0.0958416987793326,0.0,0.0,2.25,0.185,0.017017891173703
lfr10k,hope,26,aa,51.27,100,7.25,0.0898773978958068,0.0,0.0,2.75,0.182,0.0169103820418108
lfr10k,hope,28,aa,48.12,100,7.0,0.085966328108792,0.0,0.0,2.75,0.182,0.0169103820418108
lfr10k,hope,30,aa,50.11,100,6.5,0.0843117044511529,0.0,0.0,2.75,0.1795,0.0168194810799857
lfr10k,hope,32,aa,52.03,100,7.25,0.0773554003892719,0.0,0.0,2.5,0.178,0.0167643601965598
lfr10k,hope,2,aa,56.39,1000,10.0,0.1604035632648995,0.0,0.0,0.75,0.1995,0.0175143164240001
lfr10k,hope,4,aa,61.07,1000,10.0,0.1434389627933027,0.0,0.0,2.75,0.1955,0.0173811088196351
lfr10k,hope,6,aa,59.91,1000,10.0,0.1416649670518021,0.0,0.0,3.0,0.1949999999999999,0.0173642615737036
lfr10k,hope,8,aa,61.13,1000,8.75,0.1334979542887167,0.0,0.0,3.0,0.1909999999999999,0.0172278871368487
lfr10k,hope,10,aa,59.01,1000,7.75,0.1281389211549397,0.0,0.0,2.25,0.1889999999999999,0.0171586218327696
lfr10k,hope,12,aa,60.28,1000,7.5,0.1215257093274058,0.0,0.0,2.0,0.1865,0.0170710121023915
lfr10k,hope,14,aa,58.65,1000,7.75,0.1160808408349445,0.0,0.0,2.25,0.1855,0.0170356447427151
