graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
sbm10k,hope,2,aa,970.04,-1,10.0,0.1388347187040195,0.0,0.0,1.75,0.4145,0.021590703365106
sbm10k,hope,4,aa,906.02,-1,4.75,0.132733524856885,0.0,0.0,8.5,0.3625,0.0210685755332438
sbm10k,hope,6,aa,608.5,-1,4.75,0.1276683451890758,0.0,0.0,5.25,0.3545,0.0209651182634393
sbm10k,hope,8,aa,565.15,-1,4.75,0.1225257387955717,0.0,0.0,3.75,0.3429999999999999,0.0208051484205232
sbm10k,hope,10,aa,617.94,-1,5.0,0.1167324810509708,0.0,0.0,5.25,0.3299999999999999,0.020607980978252
sbm10k,hope,12,aa,602.64,-1,5.0,0.1114674762948015,0.0,0.0,4.0,0.311,0.0202876095979787
sbm10k,hope,14,aa,624.44,-1,5.25,0.1061183154185487,0.0,0.0,4.5,0.2895,0.0198768426013791
sbm10k,hope,16,aa,652.99,-1,5.5,0.1003097011503028,0.0,0.0,4.75,0.2694999999999999,0.0194460128509676
sbm10k,hope,18,aa,711.06,-1,6.0,0.0933601061517996,0.0,0.0,5.5,0.2554999999999999,0.0191147612017519
sbm10k,hope,20,aa,719.81,-1,6.0,0.0877679748531745,0.0,0.0,5.0,0.2435,0.0188102697003525
sbm10k,hope,22,aa,754.45,-1,6.25,0.0820071396737143,0.0,0.0,5.0,0.2315,0.0184858109424498
sbm10k,hope,24,aa,750.2,-1,6.25,0.0767850031248324,0.0,0.0,4.5,0.2219999999999999,0.0182140850113312
sbm10k,hope,26,aa,748.33,-1,6.25,0.0714886502778826,0.0,0.0,5.0,0.2115,0.0178976952203349
sbm10k,hope,28,aa,752.09,-1,6.25,0.066750157990126,0.0,0.0,5.5,0.2035,0.017644776853222
sbm10k,hope,30,aa,777.61,-1,6.5,0.0617500224487338,0.0,0.0,4.75,0.2039999999999999,0.0176608942921925
sbm10k,hope,32,aa,775.91,-1,6.5,0.0561361364021631,0.0,0.0,5.0,0.1975,0.0174480599208049
sbm10k,hope,2,katz,974.23,-1,10.0,0.1386213091614017,0.0,0.0,1.25,0.417,0.0216094333289885
sbm10k,hope,4,katz,637.21,-1,5.75,0.1320836264446317,0.0,0.0,5.0,0.381,0.0212837861105584
sbm10k,hope,6,katz,672.17,-1,5.0,0.128233427299096,0.0,0.0,6.0,0.362,0.0210622953355041
sbm10k,hope,8,katz,630.38,-1,5.5,0.1225914949478087,0.0,0.0,4.25,0.3535,0.0209517376415418
sbm10k,hope,10,katz,675.09,-1,6.0,0.1156287578279267,0.0,0.0,4.75,0.3365,0.0207087588763788
sbm10k,hope,12,katz,694.65,-1,6.0,0.110198575712551,0.0,0.0,5.0,0.3169999999999999,0.02039299705291
sbm10k,hope,14,katz,694.08,-1,6.0,0.105639321244315,0.0,0.0,5.25,0.3,0.0200840235012808
sbm10k,hope,16,katz,751.38,-1,6.0,0.1007391780493995,0.0,0.0,6.5,0.279,0.0196567089615734
sbm10k,hope,18,katz,732.17,-1,6.25,0.0951147724009986,0.0,0.0,5.75,0.267,0.0193887000286249
sbm10k,hope,20,katz,777.58,-1,6.75,0.0876885211104309,0.0,0.0,5.75,0.2514999999999999,0.0190154221146941
sbm10k,hope,22,katz,784.1,-1,6.75,0.0821567643475971,0.0,0.0,5.5,0.2445,0.0188363928553213
sbm10k,hope,24,katz,792.85,-1,6.75,0.0773700948269943,0.0,0.0,5.25,0.2335,0.0185413177039821
sbm10k,hope,26,katz,796.24,-1,7.0,0.0722326478203828,0.0,0.0,5.75,0.2269999999999999,0.0183587771052431
sbm10k,hope,28,katz,846.79,-1,7.25,0.0658932656055685,0.0,0.0,5.75,0.2229999999999999,0.0182433258152125
sbm10k,hope,30,katz,853.91,-1,7.5,0.0603108531488668,0.0,0.0,5.75,0.2175,0.0180806016216275
sbm10k,hope,32,katz,862.52,-1,7.5,0.0555160702805625,0.0,0.0,5.75,0.2115,0.0178976952203349
sbm10k,hope,2,ppr,975.28,-1,10.0,0.1407915964768561,0.0,0.0,1.25,0.4225,0.0216486303261892
sbm10k,hope,4,ppr,821.74,-1,5.5,0.1289295402043168,0.0,0.0,7.5,0.3285,0.0205840945926703
sbm10k,hope,6,ppr,484.22,-1,3.75,0.1262165624900105,0.0,0.0,2.75,0.3385,0.0207388817008053
sbm10k,hope,8,ppr,726.49,-1,4.5,0.1187631731515862,0.0,0.0,6.25,0.311,0.0202876095979787
sbm10k,hope,10,ppr,707.87,-1,5.5,0.1107322148192088,0.0,0.0,6.0,0.2905,0.0198971256165306
sbm10k,hope,12,ppr,941.06,-1,6.0,0.1007603769493887,0.0,0.0,8.25,0.2664999999999999,0.0193771427769937
sbm10k,hope,14,ppr,725.06,-1,6.0,0.095762219944353,0.0,0.0,5.25,0.2604999999999999,0.0192359671397099
sbm10k,hope,16,ppr,748.69,-1,6.25,0.0877262934180632,0.0,0.0,5.25,0.244,0.0188233485650136
sbm10k,hope,18,ppr,723.03,-1,6.0,0.0844168749814022,0.0,0.0,5.5,0.237,0.0186370648118205
sbm10k,hope,20,ppr,735.59,-1,6.0,0.0809774354019653,0.0,0.0,5.0,0.2229999999999999,0.0182433258152125
sbm10k,hope,22,ppr,780.99,-1,6.25,0.0741939591805698,0.0,0.0,6.5,0.2115,0.0178976952203349
sbm10k,hope,24,ppr,786.04,-1,6.5,0.0668530014461873,0.0,0.0,6.0,0.2035,0.017644776853222
